USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
colord      1862  0.0  0.0 320076   480 ?        Ssl  22:34   0:00 /usr/libexec/colord
root        1906  0.0  0.0 316684  3012 ?        Ssl  22:35   0:00 /usr/libexec/upowerd
root        2245  0.0  0.0 242580   532 ?        Sl   22:35   0:00 gdm-session-worker [pam/gdm-password]
ghosts      2256  0.0  0.1  21160  6284 ?        Ss   22:35   0:00 /usr/lib/systemd/systemd --user
ghosts      2260  0.0  0.0  21460   436 ?        S    22:35   0:00 (sd-pam)
ghosts      2269  0.1  0.2 115968  8664 ?        S<sl 22:35   0:02 /usr/bin/pipewire
ghosts      2270  0.0  0.0  97736   344 ?        Ssl  22:35   0:00 /usr/bin/pipewire -c filter-chain.conf
ghosts      2282  0.0  0.1 406808  5976 ?        S<sl 22:35   0:00 /usr/bin/wireplumber
ghosts      2289  0.0  0.1 116512  7784 ?        S<sl 22:35   0:00 /usr/bin/pipewire-pulse
ghosts      2295  0.0  0.0  10748  2992 ?        Ss   22:35   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ghosts      2296  0.0  0.0 316508  3048 ?        SLsl 22:35   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
ghosts      2331  0.0  0.0 685056  2924 ?        Ssl  22:35   0:00 /usr/libexec/xdg-document-portal
ghosts      2335  0.0  0.0 309308   324 ?        Ssl  22:35   0:00 /usr/libexec/xdg-permission-store
root        2342  0.0  0.0   2704   216 ?        Ss   22:35   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
ghosts      2365  0.0  0.0 235668   292 tty2     Ssl+ 22:35   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
ghosts      2370  0.0  0.0 298212   388 tty2     Sl+  22:35   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
ghosts      2425  0.0  0.0 162652   400 ?        Ssl  22:35   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
ghosts      2426  0.0  0.0  91548   424 ?        Ssl  22:35   0:00 /usr/libexec/gnome-session-ctl --monitor
ghosts      2442  0.0  0.0 314280  3416 ?        Ssl  22:35   0:00 /usr/libexec/gvfsd
ghosts      2451  0.0  0.0 459712   312 ?        Sl   22:35   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
ghosts      2454  0.0  0.0 667932   404 ?        Ssl  22:35   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ghosts      2494  0.0  0.0 382940  3336 ?        Sl   22:35   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
ghosts      2506  0.0  0.0   9480  2348 ?        S    22:35   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
ghosts      2507  2.1  2.2 4351064 89212 ?       Ssl  22:35   0:35 /usr/bin/gnome-shell
ghosts      2561  0.0  0.0 236068  1360 ?        Sl   22:35   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ghosts      2586  0.0  0.0 654776   120 ?        Sl   22:35   0:00 /usr/libexec/gnome-shell-calendar-server
ghosts      2597  0.0  0.0 760688   372 ?        Ssl  22:35   0:00 /usr/libexec/evolution-source-registry
ghosts      2605  0.0  0.0 2662688  364 ?        Sl   22:35   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
ghosts      2614  0.1  0.1 388840  4016 ?        Ssl  22:35   0:03 /usr/bin/ibus-daemon --panel disable
ghosts      2617  0.0  0.0 383520   280 ?        Ssl  22:35   0:00 /usr/libexec/gsd-a11y-settings
ghosts      2620  0.0  0.0 412892  2704 ?        Ssl  22:35   0:00 /usr/libexec/gsd-color
ghosts      2626  0.0  0.0 431668   492 ?        Ssl  22:35   0:00 /usr/libexec/gsd-datetime
ghosts      2629  0.0  0.0 385144  2824 ?        Ssl  22:35   0:00 /usr/libexec/gsd-housekeeping
ghosts      2630  0.0  0.0 485480   412 ?        Ssl  22:35   0:00 /usr/libexec/gsd-keyboard
ghosts      2632  0.0  0.1 741524  3960 ?        Ssl  22:35   0:00 /usr/libexec/gsd-media-keys
ghosts      2635  0.0  0.1 597248  4500 ?        Ssl  22:35   0:00 /usr/libexec/gsd-power
ghosts      2637  0.0  0.0 323628   188 ?        Ssl  22:35   0:00 /usr/libexec/gsd-print-notifications
ghosts      2639  0.0  0.0 531084   528 ?        Ssl  22:35   0:00 /usr/libexec/gsd-rfkill
ghosts      2640  0.0  0.0 309560   304 ?        Ssl  22:35   0:00 /usr/libexec/gsd-screensaver-proxy
ghosts      2642  0.0  0.0 543188   304 ?        Ssl  22:35   0:00 /usr/libexec/gsd-sharing
ghosts      2645  0.0  0.0 385820   320 ?        Ssl  22:35   0:00 /usr/libexec/gsd-smartcard
ghosts      2647  0.0  0.0 393640   364 ?        Ssl  22:35   0:00 /usr/libexec/gsd-sound
ghosts      2648  0.0  0.0 486456   384 ?        Ssl  22:35   0:00 /usr/libexec/gsd-wacom
ghosts      2651  0.0  0.0 991628  1280 ?        Sl   22:35   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ghosts      2658  0.2  0.1 214244  6432 ?        Sl   22:35   0:04 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
ghosts      2660  0.0  0.0 305492   488 ?        Sl   22:35   0:00 /usr/libexec/gsd-disk-utility-notify
ghosts      2751  0.0  0.0 389324   340 ?        Ssl  22:35   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
ghosts      2803  0.0  0.0 310468   440 ?        Sl   22:35   0:00 /usr/libexec/ibus-dconf
ghosts      2807  0.0  0.0 416208   160 ?        Sl   22:35   0:00 /usr/libexec/gsd-printer
ghosts      2863  0.1  0.0 421492  3868 ?        Sl   22:35   0:02 /usr/libexec/ibus-extension-gtk3
ghosts      2884  0.0  0.0 546576   216 ?        Sl   22:35   0:00 /usr/libexec/goa-daemon
ghosts      2887  0.0  0.0 310428  2812 ?        Sl   22:35   0:00 /usr/libexec/ibus-portal
ghosts      2903  0.0  0.0 309772   272 ?        Ssl  22:35   0:00 /usr/libexec/gvfs-goa-volume-monitor
ghosts      2911  0.0  0.0 890724   116 ?        Ssl  22:35   0:00 /usr/libexec/evolution-calendar-factory
ghosts      2914  0.0  0.0 389128   240 ?        Sl   22:35   0:00 /usr/libexec/goa-identity-service
ghosts      2921  0.0  0.0 389376   252 ?        Ssl  22:35   0:00 /usr/libexec/gvfs-afc-volume-monitor
ghosts      2933  0.0  0.0 309792   276 ?        Ssl  22:35   0:00 /usr/libexec/gvfs-mtp-volume-monitor
ghosts      2938  0.0  0.0 310760   272 ?        Ssl  22:35   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ghosts      2949  0.0  0.0 825436   216 ?        Ssl  22:35   0:00 /usr/libexec/evolution-addressbook-factory
ghosts      2952  0.0  0.1 256080  5580 ?        S    22:35   0:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.LAO8G3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
ghosts      2977  0.0  0.0 236772  3464 ?        Sl   22:35   0:01 /usr/libexec/ibus-engine-simple
ghosts      2999  0.0  0.0 230108   448 ?        Ssl  22:35   0:00 /usr/libexec/dconf-service
ghosts      3008  0.0  0.0 609444   404 ?        Sl   22:35   0:00 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
